,Question,Answer
51,                                How do I stay active in and around the home?                            ,"Try and reduce long periods of time spent sitting, whether for work, studying, watching TV, reading, or using social media or playing games using screens. Reduce sitting for long periods by taking short 3-5 minute breaks every 20-30 minutes.    Simply stand up and stretch or even better, take a walk around the house, up and down the stairs, or into the garden. By just moving around and stretching you can improve your health and wellbeing. For more ideas and illustrations of healthy stretches    see here.Set up a regular routine to be active every day, by planning a physical activity or exercise break either by yourself, by joining an online class, or by setting up a time to be active online with your friends or colleagues. Making a specific    time to be active helps ensure you get your daily physical activity. Put the time in your diary, and it will help remind you. Stick with it, as this will help you build a regular routine, and help you adjust to new ways of working, study and family    life under COVID-19 restrictionsBe active with your family and friends, connecting with others can help you and your family in the home and elsewhere spend time together and be active. Planning time to be active with your children with    active games at home, walks in the parks, or cycling can be a way the whole family can relax, be together and be active and healthy whilst at home.   Set yourself and your family Be Active goals, by choosing a specific type of activity, time of day and/or number of minutes you will do every day. Get each family member to choose their own goal which sets a bit of a challenge but is    realistic with help from family or friends and motivation. Record your progress on a weekly activity chart and, if you think it would help, reward yourself with something you value.http://www.euro.who.int/en/health-topics/health-emergencies/coronavirus-covid-19/novel-coronavirus-2019-ncov-technical-guidance/stay-physically-active-during-self-quarantine/_recache?fbclid=IwAR2RQYVYBnmpDCMjBwqmoz0hZxzmit_9yKzXu6ZhjGNywRTEzWOUQefU8V0More physical activity ideas to help you stay activeFor Infants under 1 year of ageSpend regular time doing floor-based play with your baby in a prone position (‘tummy time’) and spread this throughout the day while baby is awake.For Children under 5 years of ageActive play in and around the home – invent games which involve being active and can develop skills in throwing, catching, kicking, as well as developing posture and balance.Active play and games where children get out of breath, such as running around, skipping and jumping.For Children and adolescents aged 5-17 yearsActive games and active play with family.Join in online active games or activity classes, also look for online physical education classes as well as exercise routines suitable for adolescents.Set up playground games indoors such as Jump rope and hop-scotch – make up new games and challenges that involve being active. Learn a new skill – for example try an learn to juggle. Encourage doing some muscle strength training activities such as lifting weights or use improvised weight such as bottles full of water or sand.For Adults Climb up the stairs as much as you can, think of it as an opportunity to be active. Use household chores as a way to be more physical activity. Join in an online exercise class or make up your own routine to music you enjoy that uses the major muscle groups and raises you heart rate. Do some muscle strengthening activities such as lifting weights or improvise using full bottles of water or simply use your own body weight and do sets of press ups, sit ups and squats. Make time for fun, such as dancing to music.Where to get more help and informationFor more ideas use internet search platforms and check out social media for suggestions and access to free resources suitable for children of all ages and adults of all fitness and abilities."
52,                                Can COVID-19 be passed through breastfeeding?                            ,Transmission of active COVID-19 (virus that can cause infection) through breast milk and breastfeeding has not been detected to date. There is no reason to avoid or stop breastfeeding. 
53,"                                In communities where COVID-19 is prevalent, should mothers breastfeed?                            ","Yes. In all socio-economic settings, breastfeeding improves survival and provides lifelong health and development advantages to newborns and infants. Breastfeeding also improves the health of mothers. "
54,"                                Following delivery, should a baby still be immediately placed skin-to-skin and breastfed if the mother is confirmed or suspected to have COVID-19?                            ","Yes. Immediate and continued skin-to-skin care, including kangaroo mother care, improves the temperature control of newborns and is associated with improved survival among newborn babies. Placing the newborn close to the mother also enables early initiation of breastfeeding which also reduces mortality.The numerous benefits of skin-to-skin contact and breastfeeding substantially outweigh the potential risks of transmission and illness associated with COVID-19."
55,                                Can women with confirmed or suspected COVID-19 breastfeed?                            ,"Yes. Women with confirmed or suspected COVID-19 can breastfeed if they wish to do so. They should:Wash hands frequently with soap and water or use alcohol-based hand rub and especially before touching the baby;Wear a medical mask during any contact with the baby, including while feeding;Sneeze or cough into a tissue. Then dispose of it immediately and wash hands again;Routinely clean and disinfect surfaces that mothers have touched.It is important to replace medical masks as soon as they become damp and dispose of them immediately. Masks should not be reused or touched in the front."
56,                                If a mother confirmed or suspected to have COVID-19 does not have a medical face mask should she still breastfeed?                            ,"Yes. Breastfeeding unquestionably reduces mortality in newborns and infants and provides numerous lifelong health and brain development advantages to the child. Mothers with symptoms of COVID-19 are advised to wear a medical mask, but even if this is not possible, breastfeeding should be continued. Mothers should follow other infection prevention measures, such as washing hands, cleaning surfaces, sneezing or    coughing into a tissue.Non-medical masks (e.g. home-made or cloth masks) have not been evaluated. At this time, it is not possible to make a recommendation for or against their use."
57,                                I have confirmed or suspected COVID-19 and am too unwell to breastfeed my baby directly. What can I do?                            ," If you are too unwell to breastfeed your baby due to COVID-19 or other complications, you should be supported to safely provide your baby with breast milk in a way possible, available, and acceptable to you. This could include:Expressing milk;Donor human milk. If expressing breast milk or donor human milk are not feasible then consider wet nursing (another woman breastfeeds the child) or infant formula milk with measures to ensure that it is feasible, correctly prepared, safe and sustainable.  "
58,"                                I had confirmed or suspected COVID-19 and was unable to breastfeed, when can I start to breastfeed again?                            ",You can start to breastfeed when you feel well enough to do so. There is no fixed time interval to wait after confirmed or suspected COVID-19. There is no evidence that breastfeeding changes the clinical course of COVID-19 in a mother. Health workers or breastfeeding counsellors should support you to relactate.
59,"                                I have confirmed or suspected COVID-19, is it safer to give my baby infant formula milk?                            ","No. There are always risks associated with giving infant formula milk to newborns and infants in all settings. The risks associated with giving infant formula milk are increased whenever home and community conditions are compromised, such as reduced accessto health services if a baby becomes unwell, reduced access to clean water and/or access to supplies of infant formula milk are difficult or not guaranteed, affordable and sustainable.The numerous benefits of breastfeeding substantially outweigh the potential risks of transmission and illness associated with the COVID-19 virus. "
60,                                Where can I find the latest information on COVID-19?                            ,"For the latest information on COVID-19, check regularly on the WHO’s coronavirus pages: https://www.who.int/emergencies/diseases/novel-coronavirus-2019 "
61,                                Do weather and climate determine where COVID-19 occurs?                            ,"No. There is currently no conclusive evidence that either weather (short term variations in meteorological conditions) or climate (long-term averages) have a strong influence on transmission. The SARS-CoV-2 virus which causes COVID-19 disease has been transmitted in all regions of the world, from cold and dry, to hot and humid climates.SARS-CoV-2 is thought to be mainly transmitted directly from person-to-person through close contact, or through respiratory droplets produced when an infected person coughs or sneezes. People may be infected by touching exposed surfaces, but this is not thought to be a major transmission route. While temperature and humidity may influence how long the virus survives outside of the human body, this effect is likely to be small compared to the degree of contact between people.Physical distancing and washing hands are therefore essential to breaking the chain of transmission, and are the most effective way to protect yourself, in all locations and all seasons of the year."
62,                                Will climate change make COVID-19 worse?                            ,"There is no evidence of a direct connection between climate change and the emergence or transmission of COVID-19 disease. As the disease is now well established in the human population, efforts should focus on reducing transmission and treating patients.However, climate change may indirectly affect the COVID-19 response, as it undermines environmental determinants of health, and places additional stress on health systems. More generally, most emerging infectious diseases, and almost all recent pandemics, originate in wildlife, and there is evidence that increasing human pressure on the natural environment may drive disease emergence. Strengthening health systems, improved surveillance of infectious disease in wildlife, livestock and humans, and greater protection of biodiversity and the natural environment, should reduce the risks of future outbreaks of other new diseases."
63,                                Have measures to contain COVID-19 reduced air pollution and emissions of greenhouse gases?                            ,"Air pollution is a serious health risk. It kills approximately 7 million people every year and is responsible for one third of all deaths from stroke, lung cancer and heart disease. Over 90% of the global population lives in places where the WHO outdoor air quality guideline levels are not met, and about two-thirds of this exposure is caused by burning of fossil fuels, which also drives climate change.Efforts to control COVID-19 transmission have reduced economic activity and led to temporary improvements in air quality in some areas. In contrast, as carbon dioxide and other greenhouse gases that drive climate change persist for a long time in the atmosphere, temporary emissions reductions only have a limited effect on atmospheric concentrations. Carbon dioxide levels at observing stations around the world in the first months of 2020 have been higher than in 2019.Environmental improvements resulting from the COVID-19 response may be reversed by a rapid expansion of polluting economic activities once the measures have ended, unless there is a clear focus to promote equity, environmental health, around a just transition to a green economy.Any short-term environmental benefits as a result of COVID-19 come at an unacceptable human and economic cost, and are no substitute for planned and sustained action on air quality and climate."
64,                                How does water scarcity affect infectious diseases like COVID-19?                            ,"Access to adequate and safe water and sanitation is essential for communities to practice basic hygiene and reduce transmission of COVID-19. Access to these services in health facilities is crucial to preventing infections, reducing the spread of antimicrobial resistance and providing quality care. One in four health care facilities around the world lacks basic water services, directly impacting over two billion people. Around 80% of the world’s population is already experiencing some level of water scarcity. Climate change further threatens the availability of water for consumption, food production, personal hygiene, and medical care, including for infectious disease."
65,                                What can the global response to COVID-19 teach us about our response to climate change?                            ,"The COVID-19 pandemic is a Public Health Emergency of International Concern (PHEIC), which has claimed lives, and severely disrupted communities. Climate change is a gradually increasing stress that may be the defining public health threat of the 21st century. Nonetheless, common lessons can be drawn:Ensuring universal health coverage (UHC), through well-resourced, equitable health systems, is essential to protect the public from both short and long-term health threats.Guaranteeing global health security requires an all-hazards approach to preparedness, from infectious disease outbreaks, to extreme weather events, to climate change.  Ensuring access to the environmental determinants of health, such as clean air, water and sanitation, safe and nutritious food, is an essential protection against all health risks. WHO estimates that avoidable environmental risks cause about a quarter of the global health burden.Early action saves lives. Delay in responding to clear evidence of threats, whether from pandemics, or from climate change, increases human and socioeconomic costs. Inequality is a major barrier in ensuring health and wellbeing, especially for the most vulnerable in society. Social and economic inequality manifests in unequal health risks. When faced with public health threats of a global scale, such as COVID-19 or climate change, we are only as strong as our weakest health system."
66,                                What areas should be prioritized for disinfection in non-health care settings?                            ,"                                Disinfection practices are important to reduce the potential for COVID-19 virus contamination in non-healthcare settings, such as in the home, office, schools, gyms, publicly accessible buildings, faith-based community centres, markets, transportation and business settings or restaurants. High-touch surfaces in these non-health care settings should be identified for priority disinfection such as door and window handles, kitchen and food preparation areas, counter tops, bathroom surfaces, toilets and taps, touchscreen personal devices, personal computer keyboards, and work surfaces. "
67,                                Which surface disinfectants are effective against COVID-19 in non-health care setting environments?                            ,"In non-health care settings, sodium hypochlorite (bleach / chlorine) may be used at a recommended concentration of 0.1% or 1,000ppm (1 part of 5% strength household bleach to 49 parts of water). Alcohol at 70-90% can also be used for surface disinfection. Surfaces must be cleaned with water and soap or a detergent first to remove dirt, followed by disinfection.  Cleaning should always start from the least soiled (cleanest) area to the most soiled (dirtiest) area in order to not spread the dirty to areas that are less soiled. All disinfectant solutions should be stored in opaque containers, in a well-ventilated, covered area that is not exposed to direct sunlight and ideally should be freshly prepared every day.In indoor spaces, routine application of disinfectants to surfaces via spraying is not recommended for COVID-19. If disinfectants are to be applied, these should be via a cloth or wipe which is soaked in the disinfectant.  "
68,                                What protection measures should people take when using disinfectants?                            ,"It is important to reduce your risk when using disinfectants:The disinfectant and its concentration should be carefully selected to avoid damaging surfaces and to avoid or minimize toxic effects on household members (or users of public spaces).Avoid combining disinfectants, such as bleach and ammonia, since mixtures can cause respiratory irritation and release potentially fatal gases.Keep children, pets and other people away during the application of the product until it is dry and there is no odour. Open windows and use fans to ventilate. Step away from odours if they become too strong. Disinfectant solutions should always be prepared in well-ventilated areas.Wash your hands after using any disinfectant, including surface wipes. Keep lids tightly closed when not in use. Spills and accidents are more likely to happen when containers are open. Do not allow children to use disinfectant wipes. Keep cleaning fluids and disinfectants out of the reach of children and pets. Throw away disposable items like gloves and masks if they are used during cleaning. Do not clean and re-use.Do not use disinfectant wipes to clean hands or as baby wipes.The minimum recommended personal protective equipment when disinfecting in non-health care settings is rubber gloves, waterproof aprons and closed shoes. Eye protection and medical masks may also be needed to protect against chemicals in use or if there is a risk of splashing.Note: Where cleaning and disinfection are not possible on a regular basis due to resource limitations, frequent hand washing and avoiding touching the face should be the primary prevention approaches to reduce any potential transmission associated with surface contamination."
69,"                                What is the guidance for the disinfection of outdoor spaces such as open markets, roads?                            ","In outdoor spaces, large-scale spraying or fumigation in areas such as streets or open market places for the COVID-19 virus or other pathogens is not recommended. Streets and sidewalks are not considered as routes of infection for COVID-19. Spraying disinfectants, even outdoors, can be noxious for people’s health and cause eye, respiratory or skin irritation or damage.This practice will be ineffective since the presence of dirt or rubbish for example, inactivates the disinfectant, and manual cleaning to physically remove all matter is not feasible. This is even less effective on porous surfaces such as sidewalks and unpaved walkways. Even in the absence of dirt or rubbish, it is unlikely that chemical spraying would adequately cover surfaces allowing the required contact time to inactivate pathogens. "
70,                                Are public systems for disinfecting individuals such as spraying via tunnel or chambers safe to use?                            ,"No. Spraying of individuals with disinfectants (such as in a tunnel, cabinet, or chamber) is not recommended under any circumstances. This practice could be physically and psychologically harmful and would not reduce an infected person’s ability to spread the virus through droplets or contact. Even if someone who is infected with COVID-19 goes through a disinfection tunnel or chamber, as soon as they start speaking, coughing or sneezing they can still spread the virus.  The toxic effect of spraying with chemicals such as chlorine on individuals can lead to eye and skin irritation, bronchospasm due to inhalation, and potentially gastrointestinal effects such as nausea and vomiting. In addition to health safety concerns, the use of chlorine in large-scale spraying practices may prevent this resource from being used for important interventions such as drinking water treatment and environmental disinfection of health care facilities."
71,                                What are the recommended practices once back home after outdoor activities?                            ,"Thorough hand hygiene: washing hands with soap and water or using alcohol-based hand gel, should be performed before touching surfaces, items, pets, and people within the household environment. Please see: https://www.who.int/gpsc/clean_hands_protection/en/. While outside, people should always follow physical distancing measures, staying at least one metre from another person; perform hand hygiene by washing hands frequently with soap and water or using alcohol-based hand rub; follow good respiratory hygiene by covering your mouth and nose with your bent elbow or tissue when coughing or sneezing; avoid touching your eyes, nose and mouth; and avoid crowded places."
72,"                                Are gloves recommended for the community in public spaces to protect against COVID-19, for example when going to the grocery store supermarket?                            ","No. The use of gloves by the public in public spaces is not a recommended or proven prevention measure. Wearing gloves in public spaces does not replace the need for hand hygiene, nor does it offer any additional measure of protection against the COVID-19 virus than hand hygiene. Gloves do not provide complete protection against hand contamination, as pathogens may gain access to the hands via small defects in gloves or by contamination of the hands during glove removal. People can also transfer pathogens from one surface to another by touching with gloved hands, or even transfer pathogens to the mouth, nose, or eyes if they touch their face with gloved hands. "
73,"                                How should I clean food items from the grocery store, for example fruit, vegetables or packaged items?                            ","There is no evidence to date of viruses that cause respiratory illnesses being transmitted via food or food packaging. Coronaviruses cannot multiply in food; they need an animal or human host to multiply.The COVID-19 virus is generally thought to be spread from person to person through respiratory droplets. Currently, there is no evidence to support transmission of the COVID-19 virus associated with food. Before preparing or eating food it is important to always wash your hands with soap and water for at least 40-60 seconds. Regular food safety and handling guidance should be followed.See: https://www.who.int/activities/promoting-safe-food-handling. For food service businesses, please see the below guidance on COVID-19 and Food Safety: https://www.who.int/teams/risk-communication/food-and-agriculture-sectors. "
74,                                Is contraception/ family planning safe to use during the COVID-19 pandemic?                            ,"Yes. All modern methods of contraception are safe to use, including during the COVID-19 pandemic.  If you have had a baby in the last six months or have a health condition, such as diabetes, high blood pressure, or breast cancer – or if you smoke – seek advice from a health care professional to ensure you are using a method of contraception which is suitable and safe for you. "
75,                                I want to avoid getting pregnant during the COVID-19 pandemic. What can I do?                            ,"If you do not want to become pregnant, you should start or continue to use your contraceptive method of choice. You may be able to access information and contraceptive services from a healthcare provider by phone or online.  If you cannot access these services you may opt for a method that is available without a prescription (such as condoms, spermicides, pills, or emergency contraceptive pills) from a nearby pharmacy or drug shop. "
76,                                I can’t access my contraceptive method of choice. What do you advise?                            ,"If you cannot access your contraceptive method of choice – perhaps because it requires a prescription, or because it can only be given to you by a health worker – consider using condoms, fertility awareness-based methods, lactational amenorrhea (if you are exclusively breastfeeding), or other contraceptive methods that are recommended for self-care in your country.  Depending on the situation in your country, methods recommended for self-care could include the pill or mini-pill, emergency contraception pills, and DMPA-SC (Sayana Press®). "
77,                                What is the best contraceptive method to use during the COVID-19 pandemic?                            ,"All modern methods of contraception help to prevent pregnancy. Women and their partners can choose any modern contraceptive method that is acceptable to and safe for them. The best method of contraception is the one that works well for you.There is a wide variety of modern methods, one of which may suit you best. For more information see here. Condoms, when they are used consistently and correctly, are the only method of contraception that help to prevent unintended pregnancy and protect against sexually transmitted infections, including HIV.  They can be used together with other methods of contraception to protect against both unintended pregnancy and sexually transmitted infections.Emergency contraceptive pills can prevent up to 95% of pregnancies when taken within 5 days after intercourse, and they can be taken by anyone with or without a health condition  "
78,                                I want to change my contraceptive method – is this possible?                            ,"Yes. It may be difficult however, to access all the methods of contraception that are normally available in your country due to restrictions on movement, lack of supply, as well as increased demands on health providers and services.  If you have a pre-existing health condition, consult a provider to find out what options suit you best, and which are available and feasible. Seek advice and information from your health provider and consider using methods that do not have medical restrictions like minipills, condoms, fertility awareness-based methods, diaphragm, spermicides or lactational amenorrhea if you are exclusively breastfeeding. "
79,                                I want to remove or replace my implant or IUD – can I do this during COVID-19 pandemic?                            ,"Removal of long acting methods such as implants or IUDs, after the recommended period of use (and routine follow up appointments) may not be prioritized by your country’s health system during this health emergency. Seek advice from your health provider. If you are experiencing side effects or desire urgent removal for other reasons, contact a provider to find out what options suit you best, and which are available and feasible. If, due to restrictions on movement due to the COVID-19 pandemic you cannot have your long acting method removed straight away, it is important to use another method of contraception to avoid pregnancy at this time.   There are no medical problems caused by delaying removal of long acting methods such as implants or IUDs. Do not try to remove the contraception method yourself; wait until you are able to access health care from a trained provider. "
80,"                                Why is providing contraception/ family planning, as well as family planning services and information, important during the COVID-19 pandemic?                            ","Contraception and family planning information and services are life-saving and important at all times. Sexual activity does not cease with the COVID-19 pandemic, it is therefore crucial to ensure that people are able to access rights-based services and information to initiate and / or continue use of contraception. By preventing unintended pregnancies, contraception helps to protect girls and women from the negative health consequences of unintended pregnancies, which can save their lives. Contraception reduces the need for abortion, meaning that women and girls are less at risk of unsafe abortion, which again can be lifesaving.  Condoms, when used consistently and correctly, help to prevent both unintended pregnancies and sexually transmitted infections (including HIV).  In addition, by preventing the negative health consequences associated with unintended pregnancies, unsafe abortion and sexually transmitted infections (including HIV), contraception can help alleviate additional pressure on already-stretched health systems which are working hard to address COVID-19. "
81,                                I am a policy maker. What can I do to make sure people can access contraception and family planning information and services?                            ,"Plan and develop innovative strategies to ensure as many eligible people as possible can access information and contraception during this period. Increase use of mobile phones and digital technologies to help people make decisions about which contraceptive methods to use, and how they can be accessed.  Enable health care workers to provide contraceptive information and services as per national guidelines to the full extent possible.  This is particularly important where pregnancy poses a high risk to health.   Expand availability of contraceptive services (including both information and methods) through places other than healthcare facilities, such as pharmacies, drug shops, online platforms and other outlets.  This can be with or without prescription depending on national guidelines and contraceptive method.   Relax restrictions on the number of repeat issues of prescription-only hormonal contraceptives that can be issued. Ensure access to emergency post-coital contraception, including consideration of over the counter provision. Enable access to contraception for women and girls in the immediate post-partum and post abortion periods when they may access health services.   "
82,                                I am a programme manager. What can I do to help people access contraception and family planning information and services?                            ,"Increase use of telehealth for counselling and sharing of messages related to safe and effective use of contraception and for selection and initiation of contraceptives. Ensure adequate inventory to avoid potential stock outs at all levels of the health system. Prepare advisories for users on how they can access contraceptive information, services and supplies. Monitor contraceptive consumption in your area to identify any potential pitfall and shortage.Increase availability and access to the contraceptives which can be used by the client without service provider support.  "
83,                                Can I adapt previous frameworks for pandemic influenza to guide resource allocation for COVID-19?                            ,"Many ethical frameworks have been produced for resource allocation, some of which havebeen included in pandemic plans. Those frameworks provide useful guidance in the currentscenario. Yet, when applying them, we must take into account the type of health careresource, the context, and the stage of the pandemic. That is, while the ethical principles thatapply to resource allocation might be the same in different pandemics, they can lead todifferent decisions, given contextual circumstances. For example, this pandemic appears tosignificantly impact older adults (those 60 years of age or older), and such characteristics arerelevant to shaping priorities for the allocation of resources during COVID-19. As a result, itmay be inappropriate to use critical care triage guidelines that have age cut-offs thatdeprioritize or exclude those aged over 60 years.When applying ethical guidelines for resource allocation, we should consider the extent towhich resources are overwhelmed in the current context. It would be inappropriate, forinstance, to exclude population groups from being allocated a resource (for example,ventilators) at the outset of a pandemic when capacity remains. When resources are scarce,though – when there is an insufficient supply to meet everyone’s needs – resource allocationshould be guided by well established, broadly applicable ethical principles, unless there arecharacteristics of the outbreak that justify different courses of action. Irrelevantcharacteristics of populations within countries, such as ethnicity, race or creed, should playno role in any resource allocation in any pandemic. This reflects our commitment to treatingpeople with equal respect."
84,"                                Are the ethical considerations the same for all medical countermeasures, including therapeutics, vaccines and personal protective equipment (PPE)?                            ","Generally, the considerations may be different. The allocation of different resources may findethical justifications in different principles or values. For instance, once a novel vaccine isfound to be safe and effective, to prioritize those at highest risk, as well as populations likehealth care workers who may be more likely to serve as vectors for transmission, is justified.Within those subgroups, some suggest that a lottery-based (i.e., random) allocation may bejustified, given that resources will be limited and we can assume nearly equal benefits will bederived from any recipient within that group. This is not the case, however, for otherresources such as ventilators, where some individuals may derive significantly more benefitthan others."
85,                                What is the basis for deciding who should have priority access to scarce resources?                            ,"The ethical basis for deciding which individuals or groups might be prioritized, including the principles to be applied, are presented in the below table:Ethical considerations when deciding who to prioritizePrincipleDescriptionPractice implicationEqualityEach person’s interest should count equally unless there are good reasons that justify the differential prioritization of resources.                Irrelevant characteristics of individuals, such as race, ethnicity, creed, ability or gender, should not serve arbitrarily as the basis for the differential allocation of resources.                This principle can be used to justify the allocation of resources by a lottery – that is, randomly by chance – or by a system of first come, first served. May be most appropriate to guide the allocation of scarce resources among individuals or populations who can be expected to derive the same benefit from the resource, for example, vaccines among high-risk populations, or ventilators among                    those with similar clinical indicators for benefit.Best outcomes (utility)This principle can be used to justify the allocation of resources according to their capacity to do the most good or minimize the most harm, for example, using available resources to save the most lives possible.                May be most appropriate to guide the allocation of scarce resources that confer substantially different benefits to different individuals, for example, ventilators to those expected to derive the most benefit.Prioritize the worst offThis principle can be used to justify the allocation of resources to those in greatest medical need or those most at risk.May be most appropriate to guide the allocation of resources that are designed or intended to protect those at risk, for example, PPE for health care workers, vaccines for those most at risk of infection and severe illness, or those most                    in need, as in the case of provision of drugs in short supply to those needing them most urgently.Prioritize those tasked with helping othersThis principle can be used to justify the allocation of resources to those who have certain skills or talents that can save many other people, or because something is owed to them on account of their participation in helping others.May be most appropriate to guide the allocation of resources to health care workers, first responders, etc.Allocation principles may be relevant or justified at different stages of resource scarcity (from less scarcity to more scarcity). For example, where little scarcity exists, the allocation of resources such as ventilators may be most justified by the    principle of first come, first served (which promotes the value of equality). When those resources become increasingly scarce, their allocation may be justified according to a principle that prioritizes those most in need. With even greater scarcity,    a principle that aims to maximize benefit from the resource may be most justified. At each stage, allocation should aim to promote equality – that is, first come, first served, or random allocation, when no relevant factors distinguish individuals    within a particular scheme of allocation (for example, among those with similar needs, or among those who can be expected to benefit similarly from the resources, or among those that are at similar levels of risk).In addition, multiple principles may be combined within an allocation scheme. For example, an allocation scheme for PPE might find its justification in a principle prioritizing those most at risk as well as a principle prioritizing those tasked with helping    others, which would support priority allocation of PPE to health care workers."
86,"                                How should decision-makers make considered ethical judgements about these matters, given the likelihood that there will not be enough of a resource? Who should be involved in decision-making on scarce resources?                            ","For most decisions, multiple ethical values and principles will be relevant to deliberationsabout how to allocate resources. This is likely to generate some disagreement, becausedifferent people may weigh the values differently. Some may prioritize equality while othersmight put more emphasis on best outcomes or prioritization of the worst-off. For this reason,it is imperative that the different values be weighed and applied to specific allocation issuesusing a fair process.A fair process for allocating scarce resources must promote certain ethical values:Transparency. In a transparent process, the decisions and their justifications shouldbe made public. This means that the population should be informed about the criteriaguiding the decisions.Inclusiveness. Those affected by allocation decisions – including individuals,communities or countries – should be able to exert at least some influence over thedecision-making process as well as the decision itself. This also means that decisions 4should be open to challenge and potentially revisable, perhaps through an appealprocess. Consistency. Decisions should be consistent so that all persons in the same categoriesare treated in the same way. This means that favouritism towards one’s own family,religious or political compatriots, or otherwise, is not appropriate. All forms ofcorruption that are at variance with this principle should be challenged andcondemned. Accountability. Those making decisions about allocation must be accountable forthose decisions – that is, they should justify their decisions and be held responsible forthem. A fair process means that allocation decisions should not be made byindividuals, by individual pharmaceutical companies, or, in the case of allocationbetween countries, by a single country. Resources such as vaccines and therapiesshould not be stockpiled outside the system of fair allocation.The fair allocation of resources is one that is valuable in itself precisely because it is fair.However, it may also be valuable because a fair system engenders solidarity and trust,which are vital to the successful and sustained collective response necessary for dealingeffectively with any outbreak."
87,"                                What are the key ethical considerations that governments, vaccine manufacturers and funders should take into account to ensure a fair distribution of vaccines globally?                            ","Countries are equally vulnerable to COVID-19 and have a shared responsibility, grounded in solidarity, to collaborate globally to mitigate the outbreak. Each government has special obligations to its own citizens, but the fair allocation of vaccines globally    requires us not to simply appeal to self-interest, claims of resource ownership and the prioritization of compatriots. Vaccines should be allocated in a way that prioritizes those who fall into the categories presented in the below table. (Where individuals    or populations fall into multiple categories, they should receive even higher priority.)Priority populations, and rationale for prioritizationPriority populationRationale for prioritizationThose at greatest risk of becoming infected and seriously illMaximize benefit of vaccineThose who, if vaccinated, would prevent the greatest spread of the virusMaximize benefit of vaccineThose who have volunteered to participate in research aimed at developing the vaccineReciprocal obligation to those who were voluntarily put at risk to aid in this effortThose falling into each category may change over time. "
88,                                What conclusions can we draw about the fair allocation of scarce resources within countries during the COVID-19 outbreak?                            ,"Health care workers (caring for patients) and first responders can justifiably beprioritized when allocating some resources because of their contribution to the healthand well-being of the community. Their health helps preserve the health of others.Participants of research aimed at developing vaccines, therapies or other criticalresources should receive some priority in receiving those resources because they havealso helped save others by their participation. This is not an absolute priority – forexample, it should not take precedence over giving priority to those most at risk in thecase of resources such as vaccines.While the principle of first come, first served is often applied when allocatingresources in health care settings, it is rarely appropriate in an emergency. In practice,it is very likely to favour certain groups, such as those closest to a distribution centre,those with access to better information, or those who are most well-off.Younger populations appear to be at lower risk in the COVID-19 context.Consequently, the principle of youngest first should have low priority for vaccine, butperhaps may have more weight if they do become sick and need critical careresources.The allocation of different resources may find ethical justification in differentprinciples or values. For instance, if a novel vaccine is found to be safe and effective,a lottery-based allocation may be justified among those as highest risk, the old andthose with co-morbidities, if they outnumber available vaccines.Maximizing utility should be balanced with the principle of priority to the worst-off:centralizing the availability of resources in larger centres may extend their benefits tomore people, but may exclude isolated populations and challenge our concern forthose at highest risk."
89,                                Are people living with HIV at increased risk of being infected with the virus that causes COVID-19?                            ,"People living with HIV with advanced disease, those with low CD4 and high viral load and those who are not taking antiretroviral treatment have an increased risk of infections and related complications in general.  It is unknown if the immunosuppression of HIV will put a person at greater risk for COVID-19, thus, until more is known, additional precautions for all people with advanced HIV or poorly controlled HIV, should be employed[1],[2].At present there is no evidence that the risk of infection or complications of COVID-19 is different among people living with HIV who are clinically and immunologically stable on antiretroviral treatment when compared with the general population.  Some people living with HIV may have known risk factors for COVID-19 complications, such as diabetes, hypertension and other noncommunicable diseases and as such may have increased risk of COVID-19 unrelated to HIV.  We know that during the SARS and MERS outbreaks there were only a few case reports of mild disease among people living with HIV.  To date, there is a case report of a person living with HIV who had COVID-19 and recovered[3] and a small study on risk factors and antiretrovirals used among people living with HIV with COVID-19 from China.  This study reported similar rates of COVID-19 disease as compared to the entire population and increased risk with older age, but not with low CD4, high viral load level or antiretroviral regimen[4]. Current clinical data suggest the main mortality risk factors are linked to older age and other comorbidities including cardiovascular disease, diabetes, chronic respiratory disease, and hypertension. Some very healthy people have also developed severe disease from the coronavirus infection[5].  PLHIV are advised to take the same precautions as the general population[6],[7]: wash hands oftencough etiquette physical distancingseek medical care if symptomaticself-isolation if in contact with someone with COVID-19 and other actions per the government response   People living with HIV who are taking antiretroviral drugs should ensure that they have at least 30 days and up to 6-month supply of medicines and ensure that their vaccinations are up to date (influenza and pneumococcal vaccines). Adequate supplies of medicines to treat co-infections and comorbidities and addiction should also be ensured."
